index,pos,vel,duty
700,-14.8315,-6.8061,-61
701,-14.9634,-19.3090,-61
702,-15.0513,-26.1672,-60
703,-14.8975,-8.1696,-60
704,-14.9194,-9.5499,-64
705,-14.9194,-8.5949,-64
706,-14.9634,-12.1300,-64
707,-14.8755,-2.1279,-64
708,-14.9854,-12.9014,-67
709,-14.9414,-7.2168,-67
710,-15.0073,-13.0869,-65
711,-14.9634,-7.3837,-65
712,-15.0513,-15.4344,-65
713,-14.9634,-5.1019,-65
714,-15.0293,-11.1835,-66
715,-15.0293,-10.0651,-66
716,-15.0513,-11.2559,-64
717,-15.0732,-12.3276,-64
718,-15.1611,-19.8839,-62
719,-15.2051,-22.2900,-62
720,-15.1831,-17.8637,-58
721,-15.0952,-7.2883,-58
722,-15.0952,-6.5595,-65
723,-15.1831,-14.6926,-65
724,-15.1172,-6.6315,-61
725,-15.3589,-30.1383,-61
726,-15.2490,-16.1381,-54
727,-15.2710,-16.7216,-54
728,-15.2930,-17.2467,-60
729,-15.2710,-13.3248,-60
730,-15.1831,-3.2032,-62
731,-15.2490,-9.4747,-62
732,-15.2271,-6.3300,-63
733,-15.3149,-14.4860,-63
734,-15.3589,-17.4320,-61
735,-15.2930,-9.0970,-61
736,-15.3589,-14.7791,-63
737,-15.3809,-15.4984,-63
738,-15.3809,-13.9486,-60
739,-15.2930,-3.7647,-60
740,-15.5786,-31.9526,-66
741,-15.3149,-2.3902,-66
742,-15.4687,-17.5320,-66
743,-15.4248,-11.3843,-66
744,-15.4907,-16.8377,-62
745,-15.4248,-8.5621,-62
746,-15.4687,-12.1004,-63
747,-15.4687,-10.8904,-63
748,-15.5566,-18.5904,-62
749,-15.5566,-16.7314,-62
750,-15.5566,-15.0582,-59
751,-15.5566,-13.5524,-59
752,-15.6445,-20.9862,-61
753,-15.6006,-14.4931,-61
754,-15.5786,-10.8465,-60
755,-15.6006,-11.9591,-60
756,-15.7324,-23.9468,-61
757,-15.6006,-8.3685,-61
758,-15.8203,-29.5043,-63
759,-15.6665,-11.1730,-63
760,-15.6445,-7.8585,-62
761,-15.7324,-15.8617,-62
762,-15.7764,-18.6700,-59
763,-15.8203,-21.1976,-59
764,-15.8203,-19.0778,-57
765,-15.8203,-17.1700,-57
766,-15.7983,-13.2558,-59
767,-15.9082,-22.9165,-59
768,-15.9082,-20.6249,-56
769,-15.7104,1.2130,-56
770,-15.9741,-25.2755,-67
771,-15.9961,-24.9452,-67
772,-15.9521,-18.0561,-55
773,-15.9961,-20.6451,-55
774,-16.0620,-25.1723,-57
775,-16.0400,-20.4578,-57
776,-16.0181,-16.2148,-56
777,-16.1060,-23.3824,-56
778,-16.2158,-32.0305,-55
779,-16.1279,-20.0384,-55
780,-16.1279,-18.0345,-56
781,-16.2378,-27.2174,-56
782,-16.1938,-20.1011,-53
783,-16.2598,-24.6828,-53
784,-16.2817,-24.4118,-54
785,-16.2378,-17.5761,-54
786,-16.2598,-18.0157,-57
787,-16.3696,-27.2005,-57
788,-16.3696,-24.4804,-52
789,-16.2598,-11.0461,-52
790,-16.3696,-20.9278,-60
791,-16.4795,-29.8213,-60
792,-16.5234,-31.2337,-51
793,-16.4136,-17.1240,-51
794,-16.5894,-32.9897,-56
795,-16.4575,-16.5072,-56
796,-16.5674,-25.8428,-57
797,-16.5454,-21.0612,-57
798,-16.6772,-32.1387,-54
799,-16.6553,-26.7276,-54
800,-16.6992,-28.4493,-52
801,-16.6553,-21.2099,-52
802,-16.6772,-21.2862,-54
803,-16.7212,-23.5521,-54
804,-16.7871,-27.7887,-53
805,-16.7432,-20.6153,-53
806,-16.7212,-16.3565,-54
807,-16.8091,-23.5099,-54
808,-16.8311,-23.3562,-52
809,-16.9629,-34.2041,-52
810,-16.9409,-28.5865,-47
811,-16.8750,-19.1360,-47
812,-16.9629,-26.0115,-54
813,-17.0508,-32.1994,-54
814,-17.0288,-26.7822,-48
815,-17.0508,-26.3012,-48
816,-17.0288,-21.4738,-50
817,-17.0288,-19.3265,-50
818,-17.0728,-21.7883,-53
819,-17.1826,-30.5958,-53
820,-17.0508,-14.3527,-48
821,-17.2046,-28.2982,-48
822,-17.3364,-38.6520,-49
823,-17.2705,-28.1950,-49
824,-17.3584,-34.1646,-49
825,-17.3364,-28.5508,-49
826,-17.4902,-41.0766,-48
827,-17.2485,-12.7990,-48
828,-17.5562,-42.2809,-55
829,-17.4243,-24.8692,-55
830,-17.4683,-26.7768,-49
831,-17.5122,-28.4936,-49
832,-17.4023,-14.6579,-47
833,-17.6001,-32.9675,-47
834,-17.5781,-27.4735,-45
